Year,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1992,AL,5877,23183,28495,30461,30649,32386,30538,32950,32549,29469,24751,20394,18481,17978,16603,13858,10657,6853,5156
1992,AR,3274,13528,17075,18150,17729,16904,16622,18142,17690,16363,14181,11761,10535,10462,10459,9123,7128,4788,3683
1992,AZ,6647,25341,29238,28284,26068,29153,31801,34061,30581,26869,21722,17251,15105,15642,16546,14527,10586,6313,4388
1992,CA,58010,216570,231273,217144,200180,242469,281984,294953,264048,224756,179458,136221,113209,108129,102595,85911,62736,39788,31555
1992,CO,5203,21008,26477,25292,22479,24840,27589,33713,32833,28887,22028,15953,13086,12304,11088,9077,6482,4198,3495
1992,CT,4646,19196,21899,20209,19457,23150,26492,29568,27820,24715,21833,16495,14027,14248,13417,11920,9247,5900,4943
1992,DC,843,3274,3170,2888,3120,6292,6463,5783,4951,4308,3427,2797,2412,2319,2297,1982,1525,974,801
1992,DE,1038,4156,4879,4687,4304,5565,5769,6185,5679,4928,4166,3321,2944,3039,2847,2339,1596,960,761
1992,FL,18532,74794,87099,82952,79195,87745,102612,113981,104455,91889,77980,63838,58941,66781,74047,67354,51144,32316,23288
1992,GA,10379,41746,49323,49733,47876,53434,58618,62078,57024,51300,42150,31792,26299,23915,21516,17887,13234,8350,6090
1992,HI,1893,7210,8064,7903,7533,8540,10017,10464,10114,8964,7143,5201,4491,4876,4579,3626,2508,1461,1136
1992,IA,3622,15014,19892,21096,19209,20532,18926,21694,21929,19957,15890,13226,12064,12277,11825,10599,8590,6038,5656
1992,ID,1607,6516,8724,9598,8641,7239,6647,8259,8606,7764,6173,4808,4081,3901,3695,3268,2551,1645,1207
1992,IL,18485,70879,82593,82929,78625,85870,94453,103964,95482,84311,69120,55818,47993,47416,44370,37795,29379,18954,15484
1992,IN,8098,31862,39552,41311,40391,44297,42178,46990,46051,41369,34101,27711,23860,23731,22116,18377,13940,9073,7469
1992,KS,3492,14759,19173,19044,16849,18084,18423,20919,20513,17845,14104,11064,9942,10146,9710,8543,6764,4775,4385
1992,KY,5061,20278,25534,27795,27387,28586,28342,31043,30064,27489,22595,18566,16143,15725,14640,12154,9161,6077,4763
